atmid,datetime,seg_st_mea,NAME,ROUTE_ID,month,day,hour,year
3294496704,9/18/2021 16:05,131.0713,Polk,S001910035N,9,18,16,2021
3299577852,9/19/2021 3:27,128.3755,Polk,S001910035N,9,19,3,2021
3303881432,9/19/2021 13:09,138.7589,Polk,S001910080E,9,19,13,2021
3304836149,9/19/2021 15:19,72.6586,Polk,S001910035N,9,19,15,2021
3312222635,9/20/2021 7:51,2.883,Polk,S001910235E,9,20,7,2021
3314620645,9/20/2021 13:15,238.6257,Johnson,S001910080E,9,20,13,2021
3315596677,9/20/2021 15:25,0.2478,Polk,S001910235E,9,20,15,2021
3326747213,9/21/2021 16:23,180.6504,Polk,S001910080W,9,21,16,2021
3327685389,9/21/2021 18:28,58.4326,Warren,S001910035N,9,21,18,2021
3335353184,9/22/2021 11:29,138.3433,Jasper,S001910080W,9,22,11,2021
3337337125,9/22/2021 15:55,145.6213,Polk,S001910035S,9,22,15,2021
3337615493,9/22/2021 16:32,145.6213,Polk,S001910035S,9,22,16,2021
3337762845,9/22/2021 16:52,139.1395,Polk,S001910080E,9,22,16,2021
3338094547,9/22/2021 17:36,13.787,Polk,S001910235E,9,22,17,2021
3344020403,9/23/2021 6:39,7.5878,Polk,S001910235W,9,23,6,2021
3345959008,9/23/2021 10:55,3.0305,Polk,S001910235E,9,23,10,2021
3348378349,9/23/2021 16:16,11.6777,Scott,S001910080W,9,23,16,2021
3349153623,9/23/2021 17:58,131.3245,Polk,S001910035N,9,23,17,2021
3349252263,9/23/2021 18:11,6.2553,Polk,S001910235W,9,23,18,2021
3358235934,9/24/2021 13:50,154.1563,Jasper,S001910080W,9,24,13,2021
3359575915,9/24/2021 16:47,2.883,Polk,S001910235E,9,24,16,2021
3359597978,9/24/2021 16:50,2.883,Polk,S001910235E,9,24,16,2021
3360867034,9/24/2021 19:35,16.9358,Linn,S001910380N,9,24,19,2021
3363318257,9/25/2021 0:54,186.112,Dallas,S001910080W,9,25,0,2021
3364219624,9/25/2021 2:52,105.9316,Story,S001910035N,9,25,2,2021
3368562285,9/25/2021 12:24,71.0943,Johnson,S001910380S,9,25,12,2021
3368584444,9/25/2021 12:26,71.0528,Johnson,S001910380S,9,25,12,2021
3374291142,9/26/2021 0:56,96.4686,Polk,S001910035N,9,26,0,2021
3381255106,9/26/2021 16:14,108.5841,Story,S001910035S,9,26,16,2021
3392417885,9/27/2021 16:44,168.3854,Polk,S001910080W,9,27,16,2021
3394131972,9/27/2021 20:25,2.883,Polk,S001910235E,9,27,20,2021
3394640126,9/27/2021 21:31,166.664,Polk,S001910080W,9,27,21,2021
3397499886,9/28/2021 3:46,10.7576,Polk,S001910235E,9,28,3,2021
3399402684,9/28/2021 7:57,6.5548,Polk,S001910235W,9,28,7,2021
3399690395,9/28/2021 8:34,2.883,Polk,S001910235E,9,28,8,2021
3403906502,9/28/2021 17:52,68.1083,Johnson,S001910080W,9,28,17,2021
3404102990,9/28/2021 18:18,1.5458,Polk,S001910235E,9,28,18,2021
3410243685,9/29/2021 7:57,5.717,Polk,S001910235W,9,29,7,2021
3410270926,9/29/2021 8:01,2.7845,Polk,S001910235E,9,29,8,2021
3413614193,9/29/2021 15:27,154.0311,Jasper,S001910080W,9,29,15,2021
3414173288,9/29/2021 16:41,186.112,Dallas,S001910080W,9,29,16,2021
3418297702,9/30/2021 1:43,52.3519,Linn,S001910380S,9,30,1,2021
3423683549,9/30/2021 13:37,240.4729,Johnson,S001910080E,9,30,13,2021
3424728309,9/30/2021 15:56,54.1536,Linn,S001910380S,9,30,15,2021
3425846712,9/30/2021 18:24,2.9218,Polk,S001910235W,9,30,18,2021
3427147850,9/30/2021 21:14,134.7775,Polk,S001910035N,9,30,21,2021
3428008332,9/30/2021 23:08,0.8227,Polk,S001910235W,9,30,23,2021
3434421521,10/1/2021 13:23,53.1402,Pottawattamie,S001910029N,10,1,13,2021
3434915020,10/1/2021 14:28,139.5742,Polk,S001910080E,10,1,14,2021
3435158906,10/1/2021 15:01,139.8558,Polk,S001910080E,10,1,15,2021
3435178845,10/1/2021 15:04,139.9622,Polk,S001910080E,10,1,15,2021
3440428588,10/2/2021 2:53,51.7086,Pottawattamie,S001910029N,10,2,2,2021
3441799239,10/2/2021 5:56,13.9717,Linn,S001910380N,10,2,5,2021
3443136068,10/2/2021 8:54,109.246,Dallas,S001910080E,10,2,8,2021
3443280298,10/2/2021 9:13,184.8296,Dallas,S001910080W,10,2,9,2021
3447284507,10/2/2021 18:08,67.1419,Johnson,S001910080W,10,2,18,2021
3450152020,10/3/2021 0:28,126.7837,Polk,S001910035N,10,3,0,2021
3465308816,10/4/2021 10:41,13.941,Polk,S001910235W,10,4,10,2021
3466514964,10/4/2021 13:34,67.2376,Johnson,S001910080W,10,4,13,2021
3468136747,10/4/2021 17:42,3.8332,Polk,S001910235E,10,4,17,2021
3478081600,10/5/2021 16:06,13.7626,Linn,S001910380N,10,5,16,2021
3479260521,10/5/2021 18:43,186.0267,Dallas,S001910080W,10,5,18,2021
3484923556,10/6/2021 7:23,65.3277,Johnson,S001910380S,10,6,7,2021
3487012612,10/6/2021 12:02,134.6471,Polk,S001910035N,10,6,12,2021
3488962537,10/6/2021 16:22,182.7015,Polk,S001910080W,10,6,16,2021
3499062117,10/7/2021 14:52,98.8011,Pottawattamie,S001910029S,10,7,14,2021
3505332580,10/8/2021 4:44,52.7278,Linn,S001910380S,10,8,4,2021
3507086618,10/8/2021 8:36,238.8226,Johnson,S001910080E,10,8,8,2021
3511111708,10/8/2021 17:31,137.2507,Polk,S001910035N,10,8,17,2021
3511141047,10/8/2021 17:35,131.0713,Polk,S001910035N,10,8,17,2021
3520939834,10/9/2021 15:08,216.5976,Iowa,S001910080E,10,9,15,2021
3521989082,10/9/2021 17:27,3.2374,Polk,S001910235W,10,9,17,2021
3522062390,10/9/2021 17:37,3.2374,Polk,S001910235W,10,9,17,2021
3522160994,10/9/2021 17:50,6.6743,Polk,S001910235W,10,9,17,2021
3523776105,10/9/2021 21:22,66.531,Johnson,S001910080W,10,9,21,2021
3531943957,10/10/2021 15:24,191.1298,Dallas,S001910080W,10,10,15,2021
3539335824,10/11/2021 7:42,8.7901,Johnson,S001910380N,10,11,7,2021
3541117827,10/11/2021 11:39,2.4485,Johnson,S001910380N,10,11,11,2021
3542526622,10/11/2021 14:45,238.7308,Johnson,S001910080E,10,11,14,2021
3550537378,10/12/2021 8:23,175.7372,Polk,S001910080W,10,12,8,2021
3550654381,10/12/2021 8:38,123.9777,Polk,S001910080E,10,12,8,2021
3556443604,10/12/2021 21:21,130.07,Polk,S001910035S,10,12,21,2021
3559819326,10/13/2021 4:51,2.9861,Polk,S001910235E,10,13,4,2021
3560877157,10/13/2021 7:11,68.4833,Johnson,S001910080W,10,13,7,2021
3561055834,10/13/2021 7:34,113.0459,Story,S001910035N,10,13,7,2021
3561171963,10/13/2021 7:50,180.96,Polk,S001910080W,10,13,7,2021
3561299243,10/13/2021 8:07,181.7396,Polk,S001910080W,10,13,8,2021
3561458551,10/13/2021 8:28,5.4549,Polk,S001910235W,10,13,8,2021
3574142257,10/14/2021 12:37,96.9204,Polk,S001910035N,10,14,12,2021
3574575299,10/14/2021 13:36,94.912,Polk,S001910035N,10,14,13,2021
3576110713,10/14/2021 17:02,9.6146,Polk,S001910235W,10,14,17,2021
3586596370,10/15/2021 16:22,9.133,Polk,S001910235W,10,15,16,2021
3586693973,10/15/2021 16:34,8.3438,Polk,S001910235W,10,15,16,2021
3586868814,10/15/2021 16:58,139.0772,Polk,S001910080E,10,15,16,2021
3587182833,10/15/2021 17:39,9.6146,Polk,S001910235W,10,15,17,2021
3587839282,10/15/2021 19:07,8.978,Johnson,S001910380N,10,15,19,2021
3588057432,10/15/2021 19:35,7.291,Polk,S001910235E,10,15,19,2021
3588662545,10/15/2021 20:53,10.1855,Polk,S001910235W,10,15,20,2021
3594484000,10/16/2021 9:47,6.2422,Black Hawk,S001910380S,10,16,9,2021
3595318296,10/16/2021 11:37,9.133,Polk,S001910235W,10,16,11,2021
3596930372,10/16/2021 15:10,237.7946,Johnson,S001910080E,10,16,15,2021
3598375024,10/16/2021 18:21,51.8585,Linn,S001910380S,10,16,18,2021
3598942603,10/16/2021 19:36,97.3045,Pottawattamie,S001910029S,10,16,19,2021
3603959584,10/17/2021 6:44,53.1402,Pottawattamie,S001910029N,10,17,6,2021
3607220904,10/17/2021 13:59,0.4644,Johnson,S001910380N,10,17,13,2021
